relative_time,AccX,AccY,AccZ
20734,-0.7435038757324219,-1.105151824951172,9.752220153808594
20801,-0.7192543029785157,-1.0806028747558594,9.732012176513672
20870,-0.6724017333984376,-1.0756631469726563,9.748927001953126
20934,-0.6218069458007813,-1.10410400390625,9.905202026367188
21001,-0.5649252319335938,-1.0864407348632814,9.562414855957032
21071,-0.5306465148925782,-1.0915301513671876,9.595046997070312
21134,-0.5339396667480469,-1.0928773498535156,9.517957305908203
21201,-0.5327421569824219,-1.1165281677246095,9.75057357788086
21270,-0.5285508728027344,-1.093027038574219,9.55328384399414
21334,-0.5846841430664063,-1.1454180908203127,9.853858795166015
21401,-0.5704637145996094,-1.1717633056640626,9.77407470703125
21470,-0.5610333251953126,-1.2072395324707033,9.628726959228516
21534,-0.5758525085449219,-1.2745994567871095,9.683213653564454
21601,-0.6069877624511719,-1.3657598876953125,10.008038177490235
21670,-0.6164181518554688,-1.3968951416015625,9.887239379882812
21735,-0.6116281127929688,-1.375789031982422,9.499246215820312
21801,-0.6795867919921875,-1.4382092285156252,9.8339501953125
21870,-0.6888674926757813,-1.4090199279785156,9.849218444824219
21934,-0.6839277648925781,-1.3608201599121095,9.735005950927734
22001,-0.7337741088867188,-1.3165122985839846,9.877060546875
22071,-0.7191046142578126,-1.2126283264160156,9.469158782958985
22134,-0.7556286621093751,-1.2302915954589844,9.94980926513672
22201,-0.7291337585449219,-1.1666738891601562,9.77736785888672
22270,-0.7189549255371094,-1.1373348999023438,9.652078399658203
22334,-0.6936575317382813,-1.1084449768066407,9.591155090332032
22401,-0.6637197875976563,-1.127904510498047,9.796827392578125
22471,-0.5980064392089844,-1.1250604248046876,9.754615173339845
22534,-0.5749543762207031,-1.0939251708984377,9.49909652709961
22601,-0.5878276062011719,-1.1282038879394531,9.948013000488281
22671,-0.585582275390625,-1.1317964172363282,9.943073272705078
22734,-0.5590873718261719,-1.1085946655273438,9.565258941650391
22801,-0.5848338317871095,-1.1406280517578125,9.719737701416015
22871,-0.5828878784179687,-1.1813433837890626,9.731563110351564
22934,-0.5263055419921875,-1.1725117492675783,9.427844696044922
23001,-0.5186714172363281,-1.24301513671875,9.782008209228517
23070,-0.53887939453125,-1.3105247497558594,9.887389068603516
23134,-0.5237608337402344,-1.3073812866210939,9.600435791015625
23201,-0.5686674499511719,-1.3501922607421877,9.59968734741211
23271,-0.6494993591308594,-1.38192626953125,9.89816665649414
23334,-0.6982978820800781,-1.3463003540039062,9.742789764404298
23401,-0.7349716186523438,-1.3440550231933595,9.853110351562501
23471,-0.7418572998046875,-1.2940589904785156,9.713301086425782
23534,-0.7367678833007812,-1.2748988342285157,9.794582061767578
23601,-0.707728271484375,-1.2352313232421877,9.672885131835939
23670,-0.6893165588378907,-1.2361294555664064,9.795929260253907
23734,-0.6541397094726563,-1.1657757568359375,9.532926177978515
23801,-0.6857240295410156,-1.1964619445800782,9.992769927978516
23871,-0.6929090881347657,-1.172362060546875,9.867330780029297
23935,-0.6876699829101562,-1.1621832275390627,9.789342956542969
24001,-0.6798861694335938,-1.1289523315429688,9.610165557861329
24070,-0.6721023559570313,-1.1518547058105468,9.813891906738283
24134,-0.6027964782714844,-1.0915301513671876,9.529034271240235
24201,-0.5655239868164063,-1.1056008911132813,9.755662994384766
24270,-0.5306465148925782,-1.1033555603027345,9.84682342529297
24334,-0.5035528564453126,-1.0858419799804688,9.55852294921875
24401,-0.5177732849121094,-1.1329939270019531,9.647288360595704
24471,-0.566422119140625,-1.1846365356445314,9.627080383300783
24534,-0.6087840270996094,-1.2563374328613282,9.743837585449219
24601,-0.6080355834960938,-1.3144166564941406,9.743687896728517
24671,-0.6234535217285156,-1.3653108215332033,9.859696655273439
24734,-0.6060896301269532,-1.3434562683105469,9.657467193603516
24801,-0.5926176452636719,-1.3298345947265626,9.695637817382813
24871,-0.5918692016601563,-1.3227992248535156,9.704469451904297
24934,-0.6245013427734375,-1.307530975341797,9.900561676025392
25001,-0.6587800598144532,-1.2582833862304688,9.662855987548829
25070,-0.689615936279297,-1.2338841247558594,9.551038513183594
25134,-0.7553292846679688,-1.294508056640625,10.061327362060547
25201,-0.7659571838378907,-1.2696597290039062,9.967023468017578
25271,-0.7396119689941406,-1.2283456420898438,9.65761688232422
25335,-0.7149133300781251,-1.2216096496582032,9.742191009521484
25401,-0.6828799438476563,-1.2374766540527344,9.971065063476564
25471,-0.6143225097656251,-1.1238629150390627,9.423803100585937
25534,-0.6044430541992187,-1.1011102294921875,9.543254699707031
25601,-0.5848338317871095,-1.0533595275878906,9.587412872314454
25671,-0.611927490234375,-1.0488688659667968,9.694440307617189
25734,-0.6098318481445313,-1.0205776977539063,9.361682281494142
25801,-0.6300398254394531,-1.0960208129882814,9.943073272705078
25870,-0.6068380737304688,-1.150657196044922,9.896220703125001
25934,-0.5842350769042969,-1.161285095214844,9.555828552246094
26001,-0.5611830139160157,-1.2340338134765625,9.741292877197266
26071,-0.5478607177734375,-1.2780422973632812,9.790540466308594
26134,-0.53887939453125,-1.2952565002441407,9.744436340332031
26201,-0.5813909912109375,-1.299298095703125,9.745933227539062
26270,-0.6111790466308594,-1.2732522583007813,9.628577270507813
26334,-0.622705078125,-1.2939093017578125,9.804461517333985
26401,-0.6433621215820313,-1.2844789123535156,9.771979064941407
26471,-0.6691085815429688,-1.2954061889648438,9.889185333251953
26535,-0.6721023559570313,-1.2555889892578125,9.618248748779298
26601,-0.669407958984375,-1.2717553710937501,9.621541900634766
26671,-0.6782395935058594,-1.3127700805664062,9.884694671630859
26735,-0.6774911499023438,-1.297950897216797,9.89427474975586
26801,-0.6735992431640625,-1.2485536193847657,9.725874938964845
26871,-0.6857240295410156,-1.214125213623047,9.745035095214844
26934,-0.6738986206054688,-1.1672726440429688,9.744735717773438
27001,-0.661025390625,-1.1151809692382812,9.599986724853515
27071,-0.62989013671875,-1.0753637695312501,9.526190185546875
27134,-0.6165678405761719,-1.0785072326660157,9.767488403320312
27201,-0.5854325866699219,-1.0713221740722656,9.608818359375
